trip_id,duration,start_time,end_time,start_station_id,start_lat,start_lon,end_station_id,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type
8410788,528,10/1/2016 0:58,10/1/2016 9:46,3082,34.04652,-118.23741100000001,3000,,,5838,30,One Way,Monthly Pass
8424833,650,10/1/2016 2:03,10/1/2016 12:53,3037,34.034801,-118.231277,3000,,,6197,1,One Way,Walk-up
8415350,46,10/1/2016 10:07,10/1/2016 10:53,3040,34.05357,-118.26635700000001,3000,,,5830,30,One Way,Monthly Pass
8419995,28,10/1/2016 10:58,10/1/2016 11:26,3049,34.056969,-118.253593,3000,,,5808,30,One Way,Monthly Pass
8444038,144,10/1/2016 13:39,10/1/2016 16:03,3052,34.051102,-118.26455700000001,3000,,,5931,30,One Way,Monthly Pass
8469581,466,10/1/2016 13:59,10/1/2016 21:45,3016,34.052898,-118.24156200000002,3000,,,6296,1,One Way,Walk-up
8449036,190,10/1/2016 14:14,10/1/2016 17:24,3034,34.042061,-118.26338200000001,3000,,,6649,1,One Way,Walk-up
8439011,27,10/1/2016 15:01,10/1/2016 15:28,3006,34.04554,-118.25666799999999,3000,,,6101,1,One Way,Walk-up
8585365,1227,10/2/2016 1:25,10/2/2016 21:52,3082,34.04652,-118.23741100000001,3000,,,5949,1,One Way,Walk-up
8580177,756,10/2/2016 7:55,10/2/2016 20:31,3008,34.046611999999996,-118.26273300000001,3000,,,6527,1,One Way,Walk-up
8645647,1267,10/2/2016 13:51,10/3/2016 10:58,3005,34.0485,-118.25853700000002,3000,,,5976,1,One Way,Walk-up
8559547,139,10/2/2016 14:20,10/2/2016 16:39,3049,34.056969,-118.253593,3000,,,6206,30,One Way,Monthly Pass
8640407,47,10/3/2016 8:35,10/3/2016 9:22,3062,34.047748999999996,-118.243172,3000,,,5908,365,One Way,Monthly Pass
8669590,183,10/3/2016 12:11,10/3/2016 15:14,3019,34.038609,-118.260857,3000,,,5832,30,One Way,Monthly Pass
8664465,38,10/3/2016 14:01,10/3/2016 14:39,3032,34.049889,-118.255882,3000,,,5862,1,One Way,Walk-up
8679612,80,10/3/2016 15:52,10/3/2016 17:12,3052,34.051102,-118.26455700000001,3000,,,6103,1,One Way,Walk-up
8674458,10,10/3/2016 16:10,10/3/2016 16:20,3064,34.04681,-118.25698100000001,3000,,,6146,30,One Way,Monthly Pass
8747949,8,10/4/2016 7:30,10/4/2016 7:38,3064,34.04681,-118.25698100000001,3000,,,5910,30,One Way,Monthly Pass
8772191,209,10/4/2016 8:37,10/4/2016 12:06,3062,34.047748999999996,-118.243172,3000,,,6566,365,One Way,Monthly Pass
8802775,57,10/4/2016 17:47,10/4/2016 18:44,3007,34.05048,-118.254593,3000,,,5847,30,One Way,Monthly Pass
8877854,718,10/4/2016 21:44,10/5/2016 9:42,3052,34.051102,-118.26455700000001,3000,,,5974,1,One Way,Walk-up
8877694,53,10/5/2016 8:38,10/5/2016 9:31,3062,34.047748999999996,-118.243172,3000,,,6273,365,One Way,Monthly Pass
9027450,1224,10/5/2016 18:22,10/6/2016 14:46,3067,34.045181,-118.25023700000001,3000,,,6320,1,One Way,Walk-up
9011328,208,10/6/2016 7:46,10/6/2016 11:14,3005,34.0485,-118.25853700000002,3000,,,5974,30,One Way,Monthly Pass
