0,1,2,3,4,5,6,7,8,9,10
6281,6075,6220,4727,5996,12116,5889,6073,6279,12138,6468
5861,5823,6351,4728,5777,6370,6311,6406,6518,12269,12311
6674,6301,5836,5715,6342,6411,5753,6213,4823,12446,5992
6717,6143,6142,5716,6478,6627,6220,5889,6115,12074,5860
5721,6251,6135,5718,6411,6088,12436,12379,12055,6165,6006
5957,5838,6529,5721,5778,6541,11978,6242,6370,12108,6304
6137,5875,6029,5722,5901,12048,5736,12132,6566,6461,5846
6351,6683,6680,5723,5905,12176,6610,6606,6407,12335,12364
6200,6495,6573,5724,6254,6110,5761,12237,5859,12417,6394
6110,6476,6174,5725,6176,6676,6304,6510,6562,6709,12204
5856,6728,5820,5726,6159,6505,6378,5934,12411,12062,12225
6217,6262,6046,5727,6230,5878,6386,6620,12025,6618,6718
6332,6500,5741,5729,6017,12434,12022,5769,6671,6468,6704
5965,6434,6463,5731,5862,6062,6108,5752,5824,5939,12075
6608,5837,5931,5733,6437,12102,12401,5746,6404,6457,6584
6557,6127,6447,5735,6163,6114,6083,6145,12091,12379,5944
6123,6649,5778,5737,6371,5908,5916,12303,5742,12091,5782
6015,6017,6099,5738,6122,6072,12346,12226,6137,6600,6591
6302,6676,5846,5739,6482,12398,6187,12128,5787,5865,12032
6029,6311,5805,5741,5825,12307,6506,6303,5936,6299,12244
5835,6260,6598,5744,5912,12002,5748,5881,6535,6435,5819
6108,6658,6302,5745,6298,12065,6175,6025,6613,6405,5918
6295,6439,6069,5748,6273,6168,5822,6508,5782,6169,6684
6139,6055,6636,5750,6197,5923,6504,12093,5972,6669,6343
6528,6197,6618,5751,5837,11995,5791,6613,5839,6608,6350
6092,6072,6514,5752,6260,5754,12446,12172,12454,6391,6470
6102,6119,6267,5753,6212,5006,11991,12416,12006,5717,12305
6011,5981,6651,5754,5758,12419,6480,6641,12039,11991,11977
6185,6565,6252,5755,6253,5862,6167,11994,12383,5980,12421
6590,5885,6282,5756,5852,6593,5920,5719,12265,5943,6318
6370,5861,5987,5757,5771,6270,11995,12231,12405,6575,12010
6579,5725,5783,5758,6005,6427,5949,6693,12425,6480,5788
6691,6615,5986,5759,5963,12250,5765,5866,6214,6141,6717
5801,6481,5791,5760,6389,5847,6623,6339,6567,6286,12051
5735,5754,6313,5761,6486,12007,12132,12016,6098,12401,12326
5860,6554,6066,5762,6393,12044,5716,6525,12322,6047,6091
6114,5930,5963,5764,6410,6508,6002,12316,12237,5929,12405
6469,6582,5984,5766,6308,12369,6228,12442,6043,12226,12239
6487,6037,6230,5767,6300,12257,6578,6493,6301,12300,6229
6140,5975,6141,5770,6421,6022,6676,6204,5894,6098,5738
6348,6166,6118,5771,6525,12265,5815,6500,12176,11982,5826
6389,5846,6525,5772,6201,6009,12382,5955,12078,6728,12338
6254,6118,6655,5776,6057,6290,5849,12219,6302,12183,11984
5783,6447,6154,5777,6138,6208,6096,12087,5809,12358,12128
5922,6494,6200,5778,6527,5875,6185,12445,5929,6275,6647
6432,6171,6327,5780,6568,6254,12325,6426,6076,6487,6053
6040,6404,6556,5781,6683,12127,6285,6635,12070,12037,6637
6558,6120,5980,5782,6299,12119,12311,6351,6014,5826,6362
5916,5942,6249,5783,6247,12267,6727,5805,12154,6595,12304
6433,5982,6356,5784,6114,12130,12265,6719,5950,6301,6426
5897,6551,5875,5785,6446,12035,5960,6326,12022,6124,12337
6369,5835,5756,5786,5861,11972,5897,12374,11969,5954,5985
6305,6549,5851,5787,6633,12172,6252,5744,12145,11980,6517
6404,6441,5894,5788,5928,12141,5768,6224,6389,6293,12288
5928,6289,6711,5789,5783,5992,6198,12364,6441,6101,12456
5759,5839,6138,5790,5836,6295,6102,6456,11996,6257,5726
6524,5952,6092,5791,6457,6045,6337,4727,6201,12142,6668
5951,6613,5945,5792,6042,6653,6647,5765,6435,5752,5806
6588,6653,6374,5794,5799,12243,12207,6047,5820,6103,6153
6357,6179,5722,5795,5718,12013,6672,12223,5802,6384,12442
5909,5745,6179,5796,5960,5873,5867,6112,5999,12094,12052
6690,5971,5893,5798,6035,6141,12352,11200,6342,12323,6176
5996,6170,5925,5799,5761,12162,6052,11970,12023,6441,6651
6125,5919,5787,5801,6081,6157,6158,12424,12217,5778,6411
6214,6452,5924,5802,6244,6104,6687,12255,5754,5948,6322
6103,6066,6053,5803,6292,6613,12032,5836,12170,6002,11973
6038,6401,6248,5804,6334,11969,6172,12060,6233,6026,6432
5912,5980,5833,5805,6353,6194,5759,12066,6600,5834,6472
5927,5830,5723,5806,5914,6516,6034,12391,6538,6689,5747
6060,6540,6011,5807,6577,12437,12120,6457,6139,12329,12452
5725,5771,6008,5808,6634,12217,5930,11967,12377,6430,6404
5890,6010,6219,5809,5812,6349,6317,12099,5728,5953,11986
5816,5726,5811,5810,6305,5939,6600,6017,12225,6602,6484
