,start,end,total,ratio,lat,lon,start_0,end_0,ratio_0,start_1,end_1,ratio_1,start_2,end_2,ratio_2,start_3,end_3,ratio_3,start_4,end_4,ratio_4,start_5,end_5,ratio_5,start_6,end_6,ratio_6,start_7,end_7,ratio_7,start_8,end_8,ratio_8,start_9,end_9,ratio_9,start_10,end_10,ratio_10,start_11,end_11,ratio_11,start_12,end_12,ratio_12,start_13,end_13,ratio_13,start_14,end_14,ratio_14,start_15,end_15,ratio_15,start_16,end_16,ratio_16,start_17,end_17,ratio_17,start_18,end_18,ratio_18,start_19,end_19,ratio_19,start_20,end_20,ratio_20,start_21,end_21,ratio_21,start_22,end_22,ratio_22,start_23,end_23,ratio_23,start_Mon,end_Mon,ratio_Mon,start_Tue,end_Tue,ratio_Tue,start_Wed,end_Wed,ratio_Wed,start_Thu,end_Thu,ratio_Thu,start_Fri,end_Fri,ratio_Fri,start_Sat,end_Sat,ratio_Sat,start_Sun,end_Sun,ratio_Sun,station_id,total_0,total_1,total_2,total_3,total_4,total_5,total_6,total_7,total_8,total_9,total_10,total_11,total_12,total_13,total_14,total_15,total_16,total_17,total_18,total_19,total_20,total_21,total_22,total_23,total_Mon,total_Tue,total_Wed,total_Thu,total_Fri,total_Sat,total_Sun
3005,14640,17388,32028,0.5428972837964409,34.040599799999995,-118.25384,214,187,0.4665012406947891,118,124,0.5122950819672131,149,79,0.34782608695652173,132,46,0.2611111111111111,67,137,0.6699029126213593,66,144,0.6839622641509434,137,329,0.7051282051282052,206,1206,0.8536067892503536,481,1820,0.7907077724706904,482,1433,0.7480438184663537,489,706,0.5906432748538012,636,837,0.568135593220339,1019,1033,0.5034079844206426,919,1195,0.5652173913043478,773,912,0.5411973918197984,778,1015,0.566016713091922,865,1125,0.5652610441767069,1498,1193,0.4433717044188637,1704,1200,0.4132828630419821,1431,893,0.38435081685296646,1006,712,0.4145348837209302,677,475,0.4124783362218371,438,347,0.44218551461245237,355,240,0.4036850921273032,2129,2503,0.5403539059128183,2284,2755,0.5467169212457845,2369,2858,0.546758462421113,2356,2891,0.550962088016765,2328,2858,0.5510794140323825,1615,1835,0.5318655851680185,1559,1688,0.5198522622345337,3005,401,242,228,178,204,210,466,1412,2301,1915,1195,1473,2052,2114,1685,1793,1990,2691,2904,2324,1718,1152,785,595,4632,5039,5227,5247,5186,3450,3247
3006,6989,7218,14207,0.5080582729256106,34.045539899999994,-118.25667,113,140,0.5529411764705883,86,83,0.49122807017543857,72,50,0.4112903225806452,34,37,0.5205479452054794,50,24,0.32894736842105265,46,17,0.27692307692307694,127,68,0.350253807106599,132,126,0.48846153846153845,399,209,0.3442622950819672,272,231,0.4594059405940594,262,260,0.49809160305343514,357,358,0.500697350069735,466,550,0.5412573673870335,546,466,0.46055226824457596,462,386,0.45529411764705885,449,442,0.49608062709966405,405,567,0.5831622176591376,495,649,0.5671902268760908,538,632,0.5401023890784983,472,629,0.57116953762466,495,546,0.5244487056567594,362,347,0.48945147679324896,221,222,0.501123595505618,128,179,0.5825242718446602,931,892,0.4893150684931507,953,1039,0.5215646940822467,994,1062,0.5165208940719145,1070,1088,0.5041666666666667,1001,1004,0.5007473841554559,1038,1110,0.5167441860465116,1002,1023,0.5051800690675876,3006,253,169,122,71,74,63,195,258,608,503,522,715,1016,1012,848,891,972,1144,1170,1101,1041,709,443,307,1823,1992,2056,2158,2005,2148,2025
3007,7253,5485,12738,0.4306122448979592,34.0437317,-118.26013999999999,44,41,0.4827586206896552,41,19,0.3225806451612903,26,13,0.34146341463414637,12,58,0.8194444444444444,5,23,0.8,8,36,0.8043478260869565,27,97,0.7777777777777778,89,265,0.7471910112359551,221,448,0.669150521609538,253,514,0.6697009102730819,211,373,0.6382252559726962,376,405,0.5185185185185185,594,443,0.4273339749759384,634,429,0.40375586854460094,551,405,0.42379958246346555,545,299,0.3546099290780142,572,382,0.4006276150627615,835,334,0.2860802732707088,700,340,0.3272552783109405,547,232,0.29833546734955185,456,129,0.22146507666098808,274,79,0.22535211267605634,151,69,0.3153153153153153,81,52,0.3925925925925926,1058,819,0.43640234167110165,1196,917,0.4340425531914894,1203,882,0.4230953521801629,1156,898,0.4372568093385214,1126,817,0.4205655526992288,822,639,0.4374572795625427,692,513,0.4258492129246065,3007,85,60,39,70,28,44,124,354,669,767,584,781,1037,1063,956,844,954,1169,1040,779,585,353,220,133,1877,2113,2085,2054,1943,1461,1205
3008,5527,5863,11390,0.514747191011236,34.0447006,-118.25243999999999,269,81,0.23295454545454544,99,77,0.43820224719101125,62,70,0.5298507462686567,25,36,0.5873015873015873,15,81,0.8367346938775511,22,25,0.5306122448979592,28,193,0.8699551569506726,87,349,0.7990867579908676,118,352,0.7478813559322034,134,298,0.6889400921658986,186,248,0.5711009174311926,345,231,0.4013840830449827,471,349,0.4257907542579075,274,467,0.629878869448183,295,439,0.5978260869565217,348,421,0.5473411154345007,348,288,0.45297805642633227,537,346,0.392090395480226,407,389,0.48872180451127817,301,343,0.5325077399380805,305,278,0.47692307692307695,305,248,0.4486486486486487,334,146,0.3049792531120332,212,108,0.3385093167701863,755,776,0.5068493150684932,791,874,0.5248950209958009,763,812,0.5155358275206088,723,814,0.5295646523716699,868,981,0.5305240410588871,764,788,0.5077220077220077,863,818,0.48663101604278075,3008,350,176,132,61,96,47,221,436,470,432,434,576,820,741,734,769,636,883,796,644,583,553,480,320,1531,1665,1575,1537,1849,1552,1681
3009,55,68,123,0.552,33.987381,-118.47283200000001,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,1,1,0.5,3,4,0.5555555555555556,11,8,0.42857142857142855,10,3,0.26666666666666666,12,14,0.5357142857142857,14,13,0.4827586206896552,2,13,0.8235294117647058,2,12,0.8125,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,1,1,0.5,1,1,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,53,66,0.5537190082644629,3009,0,0,0,0,0,0,0,0,2,7,19,13,26,27,15,14,0,0,0,0,0,0,0,0,2,2,0,0,0,0,119
3010,931,1105,2036,0.5426889106967615,34.037048299999995,-118.25487,3,7,0.6666666666666666,6,2,0.3,2,3,0.5714285714285714,3,0,0.2,1,0,0.3333333333333333,1,0,0.3333333333333333,6,1,0.2222222222222222,12,6,0.35,12,112,0.8968253968253969,29,86,0.7435897435897436,34,47,0.5783132530120482,44,75,0.628099173553719,67,101,0.6,88,102,0.5364583333333334,105,107,0.5046728971962616,114,136,0.5436507936507936,103,123,0.543859649122807,153,65,0.3,99,46,0.3197278911564626,14,34,0.7,11,24,0.6756756756756757,8,13,0.6086956521739131,3,8,0.6923076923076923,13,7,0.36363636363636365,135,150,0.5261324041811847,143,175,0.55,151,152,0.5016393442622951,132,154,0.5381944444444444,149,183,0.5508982035928144,126,173,0.5780730897009967,95,118,0.5534883720930233,3010,10,8,5,3,1,1,7,18,124,115,81,119,168,190,212,250,226,218,145,48,35,21,11,20,285,318,303,286,332,299,213
3011,3530,4315,7845,0.5500191155855741,34.041130100000004,-118.26798000000001,43,47,0.5217391304347826,47,49,0.5102040816326531,25,44,0.6338028169014085,6,28,0.8055555555555556,11,9,0.45454545454545453,4,3,0.4444444444444444,128,33,0.2085889570552147,155,152,0.49514563106796117,168,241,0.5888077858880778,144,284,0.6627906976744186,114,189,0.6229508196721312,248,193,0.43792325056433407,250,272,0.5209923664122137,260,384,0.5959752321981424,236,305,0.56353591160221,242,307,0.558983666061706,276,269,0.4936014625228519,316,386,0.5497159090909091,209,297,0.5866141732283464,136,291,0.6806526806526807,129,160,0.5532646048109966,120,155,0.5631768953068592,184,137,0.42724458204334365,79,80,0.5031055900621118,463,566,0.5499515033947624,498,582,0.5388170055452866,516,654,0.5588737201365188,494,564,0.5330188679245284,547,620,0.5312232677502139,535,673,0.5570247933884298,477,656,0.5788546255506608,3011,90,96,69,34,20,7,161,307,409,428,303,441,522,644,541,549,545,702,506,427,289,275,321,159,1029,1080,1170,1058,1167,1208,1133
3013,119,122,241,0.5061728395061729,33.779819,-118.263023,0,0,0.5,1,0,0.3333333333333333,0,1,0.6666666666666666,0,0,0.5,0,0,0.5,1,1,0.5,0,0,0.5,2,2,0.5,5,3,0.4,10,1,0.15384615384615385,11,5,0.3333333333333333,15,7,0.3333333333333333,13,16,0.5483870967741935,6,16,0.7083333333333334,12,10,0.4583333333333333,11,21,0.6470588235294118,6,8,0.5625,4,11,0.7058823529411765,7,4,0.38461538461538464,9,12,0.5652173913043478,5,1,0.25,0,3,0.8,1,0,0.3333333333333333,0,0,0.5,5,7,0.5714285714285714,8,6,0.4375,11,14,0.5555555555555556,14,6,0.3181818181818182,17,14,0.45454545454545453,9,15,0.6153846153846154,55,60,0.5213675213675214,3013,0,1,1,0,0,2,0,4,8,11,16,22,29,22,22,32,14,15,11,21,6,3,1,0,12,14,25,20,31,24,115
3014,11686,13278,24964,0.5318833613714652,34.0566101,-118.23721,77,74,0.49019607843137253,61,72,0.5407407407407407,41,79,0.6557377049180327,26,30,0.5344827586206896,49,42,0.46236559139784944,148,96,0.3943089430894309,847,198,0.19006685768863418,1586,466,0.22736124634858812,1638,457,0.2184072484501669,947,421,0.30802919708029197,524,349,0.4,624,381,0.37934458788480635,607,573,0.4856175972927242,440,845,0.6573426573426573,448,789,0.6376109765940274,433,1031,0.703956343792633,492,2418,0.8307005494505495,718,2428,0.7716010165184244,773,1203,0.6086956521739131,410,474,0.536117381489842,244,358,0.5943708609271523,226,185,0.45036319612590797,201,189,0.4846938775510204,126,120,0.4879032258064516,1748,1990,0.5323529411764706,2113,2264,0.5172413793103449,2163,2473,0.5334195774040534,2190,2392,0.5220331588132635,1907,2122,0.526668320516001,850,1142,0.5732196589769308,715,895,0.5558312655086849,3014,151,133,120,56,91,244,1045,2052,2095,1368,873,1005,1180,1285,1237,1464,2910,3146,1976,884,602,411,390,246,3738,4377,4636,4582,4029,1992,1610
3016,3604,3353,6957,0.4819657996838626,34.0528984,-118.24156,15,7,0.3333333333333333,80,8,0.1,4,28,0.8529411764705882,0,37,0.9743589743589743,1,2,0.6,7,25,0.7647058823529411,43,80,0.648,104,270,0.7207446808510638,116,420,0.7825278810408922,146,316,0.6831896551724138,126,150,0.5431654676258992,318,172,0.3516260162601626,362,323,0.47161572052401746,241,287,0.5433962264150943,185,220,0.542997542997543,277,153,0.35648148148148145,437,223,0.338368580060423,535,263,0.33,289,178,0.3816631130063966,145,82,0.3624454148471616,49,44,0.47368421052631576,48,35,0.4235294117647059,46,24,0.3472222222222222,30,6,0.18421052631578946,498,463,0.4818276220145379,667,671,0.5014925373134328,667,663,0.4984984984984985,717,675,0.48493543758967,650,583,0.4728744939271255,211,181,0.4619289340101523,194,117,0.3769968051118211,3016,22,88,32,37,3,32,123,374,536,462,276,490,685,528,405,430,660,798,467,227,93,83,70,36,961,1338,1330,1392,1233,392,311
