,start,end,total,ratio,lat,lon,start_0,end_0,ratio_0,start_1,end_1,ratio_1,start_2,end_2,ratio_2,start_3,end_3,ratio_3,start_4,end_4,ratio_4,start_5,end_5,ratio_5,start_6,end_6,ratio_6,start_7,end_7,ratio_7,start_8,end_8,ratio_8,start_9,end_9,ratio_9,start_10,end_10,ratio_10,start_11,end_11,ratio_11,start_12,end_12,ratio_12,start_13,end_13,ratio_13,start_14,end_14,ratio_14,start_15,end_15,ratio_15,start_16,end_16,ratio_16,start_17,end_17,ratio_17,start_18,end_18,ratio_18,start_19,end_19,ratio_19,start_20,end_20,ratio_20,start_21,end_21,ratio_21,start_22,end_22,ratio_22,start_23,end_23,ratio_23,start_Mon,end_Mon,ratio_Mon,start_Tue,end_Tue,ratio_Tue,start_Wed,end_Wed,ratio_Wed,start_Thu,end_Thu,ratio_Thu,start_Fri,end_Fri,ratio_Fri,start_Sat,end_Sat,ratio_Sat,start_Sun,end_Sun,ratio_Sun,total_0,total_1,total_2,total_3,total_4,total_5,total_6,total_7,total_8,total_9,total_10,total_11,total_12,total_13,total_14,total_15,total_16,total_17,total_18,total_19,total_20,total_21,total_22,total_23,total_Mon,total_Tue,total_Wed,total_Thu,total_Fri,total_Sat,total_Sun
3005,13872,15933,29805,0.5345631393593828,34.04652,-118.23741100000001,194,152,0.4410112359550562,109,111,0.5043478260869565,128,71,0.36363636363636365,93,35,0.2898550724637681,56,119,0.6702702702702703,58,150,0.7110091743119266,109,331,0.7466666666666667,221,1053,0.82398753894081,586,1567,0.7267683772538142,464,1222,0.7234669811320755,481,667,0.5803108808290155,619,757,0.5497835497835498,950,996,0.5117586912065439,859,1058,0.551634665282823,726,820,0.5302056555269923,796,994,0.555,816,1058,0.5642250530785563,1392,1241,0.4714339765418086,1606,1049,0.39549718574108816,1268,840,0.39896128423040605,929,650,0.4122089364380113,671,462,0.40857392825896766,424,333,0.4406779661016949,317,197,0.38549618320610685,2080,2336,0.5289200180750113,2168,2554,0.5407861369399831,2200,2581,0.5397620538509705,2255,2646,0.5398085929545917,2215,2616,0.5414170625903739,1569,1697,0.5195360195360196,1385,1503,0.5203588681849551,346,220,199,128,175,208,440,1274,2153,1686,1148,1376,1946,1917,1546,1790,1874,2633,2655,2108,1579,1133,757,514,4416,4722,4781,4901,4831,3266,2888
3006,6156,6298,12454,0.505696405648267,34.045421999999995,-118.25351699999999,101,127,0.5546218487394958,78,73,0.484472049689441,63,46,0.42857142857142855,33,27,0.45714285714285713,51,14,0.25333333333333335,46,21,0.33766233766233766,113,43,0.2891566265060241,141,103,0.4251968503937008,346,171,0.33396584440227706,250,219,0.46764091858037576,204,250,0.5495689655172413,341,296,0.4652241112828439,380,465,0.5497076023391813,463,403,0.4657534246575342,419,359,0.4619289340101523,420,369,0.46808510638297873,329,479,0.5916870415647921,460,578,0.5562977099236641,478,567,0.5421800947867299,422,545,0.5629477993858751,429,449,0.5112612612612613,274,321,0.5388429752066116,193,202,0.5111111111111111,122,171,0.5808580858085809,821,810,0.49664838513101767,889,929,0.5109409190371991,900,938,0.5102813852813853,950,928,0.4941737288135593,842,859,0.5049678550555231,896,961,0.5174076057846813,858,873,0.5043078690407812,228,151,109,60,65,67,156,244,517,469,454,637,845,866,778,789,808,1038,1045,967,878,595,395,293,1631,1818,1838,1878,1701,1857,1731
3007,6692,4995,11687,0.42746003248696246,34.05048,-118.254593,44,39,0.4731182795698925,40,15,0.3076923076923077,23,12,0.37777777777777777,7,54,0.8309859154929577,6,25,0.7317073170731707,10,38,0.7413793103448276,17,89,0.8103448275862069,55,242,0.8045602605863192,209,519,0.7100271002710027,257,460,0.6396148555708391,198,339,0.6288848263254113,369,312,0.45875542691751087,508,409,0.44660194174757284,520,352,0.40476190476190477,467,344,0.42509135200974424,472,274,0.36904761904761907,523,326,0.3853317811408615,853,293,0.2577854671280277,654,313,0.3254861821903787,543,225,0.29562982005141386,455,124,0.21901528013582344,240,81,0.2598187311178248,147,61,0.30275229357798167,75,49,0.40298507462686567,1031,768,0.4273079049198452,1164,871,0.42836185819070904,1105,828,0.4287184765826042,1105,824,0.42753996905621455,1050,743,0.41486411536328344,689,530,0.435313262815297,548,431,0.4408493427704752,83,55,35,61,31,48,106,297,728,717,537,681,917,872,811,746,849,1146,967,768,579,321,208,124,1799,2035,1933,1929,1793,1219,979
3008,4981,5272,10253,0.5141771411867875,34.04652,-118.23741100000001,233,59,0.2119205298013245,91,59,0.4,51,52,0.504424778761062,24,27,0.5245901639344263,7,13,0.6,20,23,0.5283018867924528,17,138,0.8666666666666667,78,310,0.7914572864321608,112,404,0.7775665399239544,102,344,0.7653508771929824,152,218,0.5868421052631579,257,200,0.43897216274089934,430,306,0.4168900804289544,239,441,0.6463768115942029,254,386,0.6015384615384616,327,384,0.5395284327323162,347,270,0.43859649122807015,563,304,0.3523375142531357,367,343,0.48333333333333334,283,302,0.5159663865546219,284,254,0.4726277372262774,275,219,0.4444444444444444,296,126,0.30324074074074076,172,90,0.3492647058823529,665,700,0.5127272727272727,731,777,0.5151515151515151,725,750,0.5084175084175084,651,741,0.5320970042796006,774,881,0.5321321321321322,684,714,0.5106534090909091,751,709,0.4857142857142857,292,150,103,51,20,43,155,388,516,446,370,457,736,680,640,711,617,867,710,585,538,494,422,262,1365,1508,1475,1392,1655,1398,1460
3009,55,68,123,0.5488721804511278,33.987381,-118.47283200000001,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,1,1,0.5,3,4,0.5294117647058824,11,8,0.4482758620689655,10,3,0.34782608695652173,12,14,0.5277777777777778,14,13,0.4864864864864865,2,13,0.72,2,12,0.7083333333333334,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,1,1,0.5,1,1,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,53,66,0.5503875968992248,0,0,0,0,0,0,0,0,2,7,19,13,26,27,15,14,0,0,0,0,0,0,0,0,2,2,0,0,0,0,119
3010,712,955,1667,0.5724508050089445,34.037048,-118.25486799999999,7,9,0.5384615384615384,4,3,0.47058823529411764,3,2,0.4666666666666667,3,0,0.38461538461538464,0,0,0.5,2,1,0.46153846153846156,1,2,0.5384615384615384,3,5,0.5555555555555556,5,55,0.8571428571428571,23,64,0.711340206185567,26,41,0.5974025974025974,39,67,0.6206896551724138,60,89,0.5911949685534591,96,100,0.5097087378640777,78,105,0.5699481865284974,98,114,0.536036036036036,76,92,0.5449438202247191,70,65,0.4827586206896552,57,46,0.45132743362831856,23,36,0.5942028985507246,14,26,0.62,9,17,0.6111111111111112,3,8,0.6190476190476191,12,8,0.43333333333333335,99,104,0.5117370892018779,103,146,0.583011583011583,103,128,0.5518672199170125,94,131,0.5787234042553191,104,145,0.5791505791505791,117,176,0.5973597359735974,92,125,0.5726872246696035,16,7,5,3,0,3,3,8,60,87,67,106,149,196,183,212,168,135,103,59,40,26,11,20,203,249,231,225,249,293,217
3011,3333,4017,7350,0.5464673913043478,34.060558,-118.238327,33,54,0.6082474226804123,35,45,0.5555555555555556,22,42,0.6351351351351351,8,26,0.7045454545454546,10,9,0.4827586206896552,5,3,0.4444444444444444,107,40,0.28662420382165604,114,144,0.5559701492537313,178,241,0.5734265734265734,170,280,0.6195652173913043,118,169,0.5858585858585859,237,184,0.4385150812064965,238,265,0.5263157894736842,235,366,0.6072013093289689,235,271,0.5348837209302325,233,274,0.539651837524178,265,253,0.48863636363636365,336,394,0.5391891891891892,189,261,0.5782608695652174,142,243,0.6278481012658228,107,140,0.5642023346303502,105,126,0.5435684647302904,152,120,0.4432624113475177,59,67,0.5294117647058824,425,546,0.5616717635066258,519,583,0.5287769784172662,501,634,0.5580786026200873,487,542,0.5264677574590952,491,543,0.524904214559387,476,552,0.5366088631984586,434,617,0.586239396795476,87,80,64,34,19,8,147,258,419,450,287,421,503,601,506,507,518,730,450,385,247,231,272,126,971,1102,1135,1029,1034,1028,1051
3013,141,146,287,0.5084175084175084,33.779819,-118.263023,0,1,0.5454545454545454,1,0,0.45454545454545453,0,1,0.5454545454545454,0,0,0.5,0,0,0.5,1,1,0.5,0,0,0.5,2,2,0.5,6,3,0.42105263157894735,11,1,0.2727272727272727,11,6,0.4074074074074074,17,9,0.3888888888888889,14,17,0.5365853658536586,7,16,0.6363636363636364,15,10,0.42857142857142855,16,23,0.5714285714285714,7,10,0.5555555555555556,4,15,0.6896551724137931,11,10,0.4838709677419355,9,13,0.5625,5,1,0.375,0,5,0.6666666666666666,2,0,0.4166666666666667,2,2,0.5,8,10,0.5357142857142857,10,7,0.4444444444444444,14,17,0.5365853658536586,16,10,0.4166666666666667,20,17,0.46808510638297873,11,16,0.5675675675675675,62,69,0.524822695035461,1,1,1,0,0,2,0,4,9,12,17,26,31,23,25,39,17,19,21,22,6,5,2,4,18,17,31,26,37,27,131
3014,10376,11524,21900,0.5261980830670927,34.04607,-118.233093,50,54,0.5175438596491229,62,62,0.5,49,60,0.5462184873949579,25,31,0.5454545454545454,58,28,0.34375,148,77,0.34893617021276596,748,136,0.15771812080536912,1475,412,0.2198207696362678,1575,478,0.23412506059137178,866,354,0.291869918699187,481,276,0.3663624511082138,465,318,0.4073139974779319,464,430,0.4811946902654867,367,695,0.6529850746268657,348,672,0.6572815533980583,380,981,0.7191830780452224,469,2303,0.8296189791516895,625,2097,0.7693997071742313,677,1020,0.6004686584651435,415,399,0.49029126213592233,211,263,0.5537190082644629,177,147,0.4550898203592814,149,140,0.48494983277591974,92,91,0.49740932642487046,1573,1753,0.5269784172661871,1883,2037,0.5195928753180662,1920,2145,0.5276073619631901,2003,2053,0.5061485489424495,1633,1767,0.5196480938416422,754,985,0.5660377358490566,610,784,0.561965811965812,104,124,109,56,86,225,884,1887,2053,1220,757,783,894,1062,1020,1361,2772,2722,1697,814,474,324,289,183,3326,3920,4065,4056,3400,1739,1394
3016,2543,2252,4795,0.4697190426638918,34.052898,-118.24156200000002,11,6,0.4074074074074074,33,6,0.22448979591836735,2,14,0.7307692307692307,0,11,0.7619047619047619,1,2,0.5384615384615384,7,29,0.7391304347826086,29,64,0.6699029126213593,59,165,0.7264957264957265,69,223,0.7549668874172185,99,167,0.6231884057971014,94,101,0.5170731707317073,220,151,0.4094488188976378,205,192,0.48402948402948404,170,176,0.5084269662921348,136,160,0.5392156862745098,227,123,0.35555555555555557,309,167,0.35390946502057613,355,164,0.31947069943289225,232,166,0.41911764705882354,138,78,0.3672566371681416,47,32,0.4157303370786517,39,32,0.4567901234567901,39,16,0.3230769230769231,22,7,0.3076923076923077,352,316,0.47345132743362833,451,427,0.4864864864864865,479,451,0.4851063829787234,504,437,0.4647739221871714,439,394,0.47330960854092524,167,148,0.4707692307692308,151,79,0.35,17,39,16,11,3,36,93,224,292,266,195,371,397,346,296,350,476,519,398,216,79,71,55,29,668,878,930,941,833,315,230
