,start,end,total,ratio,lat,lon,start_0,end_0,ratio_0,start_1,end_1,ratio_1,start_2,end_2,ratio_2,start_3,end_3,ratio_3,start_4,end_4,ratio_4,start_5,end_5,ratio_5,start_6,end_6,ratio_6,start_7,end_7,ratio_7,start_8,end_8,ratio_8,start_9,end_9,ratio_9,start_10,end_10,ratio_10,start_11,end_11,ratio_11,start_12,end_12,ratio_12,start_13,end_13,ratio_13,start_14,end_14,ratio_14,start_15,end_15,ratio_15,start_16,end_16,ratio_16,start_17,end_17,ratio_17,start_18,end_18,ratio_18,start_19,end_19,ratio_19,start_20,end_20,ratio_20,start_21,end_21,ratio_21,start_22,end_22,ratio_22,start_23,end_23,ratio_23,start_Mon,end_Mon,ratio_Mon,start_Tue,end_Tue,ratio_Tue,start_Wed,end_Wed,ratio_Wed,start_Thu,end_Thu,ratio_Thu,start_Fri,end_Fri,ratio_Fri,start_Sat,end_Sat,ratio_Sat,start_Sun,end_Sun,ratio_Sun
3005,21026,23748,44774,0,34.04652,-118.23741100000001,289,232,0.803448275862069,152,141,0.9281045751633987,157,90,0.5759493670886076,118,79,0.6722689075630253,65,183,2.787878787878788,129,237,1.8307692307692307,133,489,3.656716417910448,318,1508,4.730407523510972,906,2317,2.555678059536935,750,1632,2.174434087882823,778,1052,1.3517329910141207,1011,1134,1.1215415019762847,1471,1506,1.0237771739130435,1349,1667,1.2355555555555555,1155,1287,1.1141868512110726,1173,1473,1.2555366269165247,1224,1484,1.2122448979591838,2047,1880,0.91845703125,2341,1609,0.6874466268146883,1964,1240,0.6315521628498728,1353,976,0.7215657311669128,1041,723,0.6948176583493282,630,499,0.7923930269413629,472,310,0.6575052854122622,3174,3526,1.1108661417322834,3307,3781,1.1432889963724304,3217,3753,1.1665630826600373,3360,3877,1.1538232668848556,3323,3873,1.1654632972322503,2309,2475,1.0718614718614718,2336,2463,1.0543431750106975
3006,9194,9529,18723,0,34.045421999999995,-118.25351699999999,158,176,1.1132075471698113,113,94,0.8333333333333334,80,58,0.7283950617283951,43,29,0.6818181818181818,58,18,0.3220338983050847,78,43,0.5569620253164557,130,101,0.7786259541984732,232,172,0.7424892703862661,469,304,0.648936170212766,366,366,1.0,335,379,1.130952380952381,480,451,0.9397089397089398,570,679,1.1908931698774081,684,607,0.8875912408759125,646,573,0.8871715610510046,657,559,0.851063829787234,541,677,1.2509225092250922,644,838,1.3007751937984495,762,845,1.108781127129751,662,877,1.3242835595776772,615,659,1.0714285714285714,427,485,1.1355140186915889,275,303,1.1014492753623188,169,236,1.3941176470588235,1250,1234,0.9872102318145484,1328,1448,1.090293453724605,1285,1383,1.0762052877138413,1352,1355,1.0022172949002217,1302,1340,1.029163468917882,1344,1425,1.0602230483271375,1333,1344,1.0082458770614693
3007,9855,7430,17285,0,34.05048,-118.254593,54,62,1.1454545454545455,49,20,0.42,26,25,0.9629629629629629,9,58,5.9,6,25,3.7142857142857144,21,57,2.6363636363636362,23,140,5.875,89,349,3.888888888888889,276,767,2.7725631768953067,340,773,2.269794721407625,310,536,1.7266881028938907,561,464,0.8274021352313167,780,612,0.7848911651728553,749,544,0.7266666666666667,700,522,0.746077032810271,748,401,0.5367156208277704,808,466,0.5772558714462299,1268,424,0.33490937746256894,979,417,0.42653061224489797,791,296,0.375,623,171,0.27564102564102566,340,133,0.39296187683284456,199,93,0.47,106,75,0.7102803738317757,1563,1176,0.7525575447570333,1681,1257,0.7479191438763377,1586,1203,0.7586641461877757,1601,1213,0.7578027465667915,1578,1176,0.7454084863837872,1000,748,0.7482517482517482,846,657,0.7768595041322314
3008,7902,8237,16139,0,34.04652,-118.23741100000001,302,96,0.3201320132013201,148,89,0.6040268456375839,73,67,0.918918918918919,37,32,0.868421052631579,11,19,1.6666666666666667,26,30,1.1481481481481481,35,160,4.472222222222222,140,451,3.2056737588652484,203,648,3.1813725490196076,178,553,3.094972067039106,237,330,1.3907563025210083,376,289,0.7692307692307693,682,487,0.7144948755490483,452,663,1.465783664459161,424,608,1.4329411764705882,500,567,1.1337325349301397,585,482,0.8242320819112628,915,537,0.5873362445414847,555,553,0.9964028776978417,482,503,1.0434782608695652,428,382,0.8927738927738927,431,324,0.7523148148148148,427,220,0.5163551401869159,255,147,0.578125,1117,1118,1.0008944543828264,1170,1243,1.062339880444065,1173,1196,1.0195911413969336,1083,1199,1.1070110701107012,1228,1356,1.1041497152156226,1018,1066,1.0471050049067714,1113,1059,0.9515260323159784
3009,55,68,123,0,33.987381,-118.47283200000001,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1,1,1.0,3,4,1.25,11,8,0.75,10,3,0.36363636363636365,12,14,1.1538461538461537,14,13,0.9333333333333333,2,13,4.666666666666667,2,12,4.333333333333333,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1,1,1.0,1,1,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,53,66,1.2407407407407407
3010,1099,1557,2656,0,34.037048,-118.25486799999999,8,12,1.4444444444444444,5,5,1.0,4,2,0.6,3,0,0.25,0,0,1.0,4,4,1.0,2,6,2.3333333333333335,7,15,2.0,8,80,9.0,42,122,2.86046511627907,40,107,2.6341463414634148,57,95,1.6551724137931034,88,133,1.5056179775280898,122,164,1.3414634146341464,116,172,1.4786324786324787,131,162,1.2348484848484849,123,148,1.2016129032258065,109,92,0.8454545454545455,79,75,0.95,64,60,0.9384615384615385,31,41,1.3125,23,30,1.2916666666666667,17,15,0.8888888888888888,16,17,1.0588235294117647,155,195,1.2564102564102564,154,229,1.4838709677419355,147,202,1.3716216216216217,132,195,1.4736842105263157,178,265,1.4860335195530727,191,273,1.4270833333333333,142,198,1.3916083916083917
3011,4887,5696,10583,0,34.060558,-118.238327,49,84,1.7,42,61,1.441860465116279,24,47,1.92,9,30,3.1,10,9,0.9090909090909091,8,4,0.5555555555555556,111,48,0.4375,139,184,1.3214285714285714,245,316,1.2886178861788617,260,339,1.3026819923371646,186,239,1.2834224598930482,345,267,0.7745664739884393,352,373,1.0594900849858357,347,490,1.410919540229885,343,417,1.2151162790697674,324,382,1.1784615384615384,385,395,1.0259067357512954,437,548,1.2534246575342465,317,394,1.2421383647798743,244,380,1.5551020408163265,174,215,1.2342857142857142,176,192,1.0903954802259888,265,179,0.6766917293233082,95,103,1.0833333333333333,612,731,1.1941272430668841,741,822,1.1091644204851752,723,856,1.1837016574585635,689,752,1.0913043478260869,702,807,1.1493598862019914,715,802,1.1215083798882681,705,926,1.3130311614730878
3013,175,190,365,0,33.779819,-118.263023,2,3,1.3333333333333333,1,1,1.0,0,1,2.0,0,0,1.0,0,0,1.0,1,1,1.0,0,0,1.0,2,2,1.0,7,4,0.625,21,9,0.45454545454545453,12,6,0.5384615384615384,18,11,0.631578947368421,15,21,1.375,9,16,1.7,18,15,0.8421052631578947,17,23,1.3333333333333333,10,10,1.0,4,20,4.2,13,12,0.9285714285714286,11,19,1.6666666666666667,7,6,0.875,1,6,3.5,3,1,0.5,3,3,1.0,16,19,1.1764705882352942,15,11,0.75,15,20,1.3125,21,19,0.9090909090909091,23,20,0.875,17,23,1.3333333333333333,68,78,1.144927536231884
3014,15620,17191,32811,0,34.04607,-118.233093,80,92,1.1481481481481481,78,77,0.9873417721518988,79,63,0.8,27,35,1.2857142857142858,59,39,0.6666666666666666,201,108,0.5396039603960396,1276,206,0.1620986687548943,2508,563,0.22479075328816261,2648,639,0.24160060400151,1270,470,0.37057435090479934,707,379,0.536723163841808,673,444,0.6602373887240356,655,621,0.948170731707317,510,949,1.8590998043052838,466,972,2.0835117773019274,532,1737,3.2607879924953096,659,3683,5.581818181818182,824,3183,3.8593939393939394,846,1365,1.6127508854781583,589,596,1.011864406779661,303,379,1.25,286,250,0.8745644599303136,216,200,0.9262672811059908,128,141,1.1007751937984496,2520,2716,1.077746925823086,2846,3040,1.0681419037583422,2820,3124,1.1077632045373982,2957,3063,1.0358350236646383,2486,2637,1.0607157217531162,1084,1421,1.3105990783410137,907,1190,1.3116740088105727
3016,3699,3359,7058,0,34.052898,-118.24156200000002,15,17,1.125,33,6,0.20588235294117646,2,15,5.333333333333333,0,11,12.0,1,2,1.5,11,29,2.5,35,173,4.833333333333333,86,348,4.011494252873563,117,336,2.8559322033898304,163,231,1.4146341463414633,135,148,1.0955882352941178,280,189,0.6761565836298933,273,246,0.9014598540145985,247,236,0.9556451612903226,196,222,1.131979695431472,348,181,0.5214899713467048,499,263,0.528,560,243,0.43493761140819964,313,209,0.6687898089171974,177,128,0.7247191011235955,76,47,0.6233766233766234,49,37,0.76,51,33,0.6538461538461539,32,9,0.30303030303030304,534,514,0.9626168224299065,688,662,0.9622641509433962,680,651,0.9574155653450808,720,627,0.871012482662968,640,587,0.9173166926677067,214,198,0.9255813953488372,223,120,0.5401785714285714
